source_file,age,utterance,overreg_past,overreg_plural
/content/drive/My Drive/childes/Eng-NA/Braunwald/010720.xml,598.75,the xxx doggy gone do byebye,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/010725.xml,603.75,I et ate it,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/011008.xml,678.25,what did you do,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/011019.xml,689.25,felled fell,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/011020.xml,690.25,go in my hurt eye,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/011027.xml,697.25,there are my shoes,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/011103.xml,703.75,tiny when did my baby come here,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/011109.xml,709.75,on a Glock stairs,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/011126.xml,726.75,that is broken,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020023.xml,753.5,he said Mummy Mummy,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020121.xml,782,I got I have got milk in my eye,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020128.xml,789,I had a cold,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020200.xml,791.5,I've ate my dinner,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020212a.xml,803.5,that mean when Dee Jack went on trip on xxx on fire,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020215.xml,806.5,I got choose Mickey_Mouse,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020224.xml,815.5,I have got a fork,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020226.xml,817.5,I had no more pepper,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020227.xml,818.5,why did you left,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300.xml,822,I have had enough,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300.xml,822,I have had nough enough,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300.xml,822,I have had enough,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,a white cat was hurt Pwww,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,Dwww said I was Daniel,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,here are my new sandals,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,a pears,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,I heared it,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,where where did my squirrel go,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,where did my mouse go,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,when did I have chicken,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020313.xml,835,Swww did byebye,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020323.xml,845,a bird flewed flew at me,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020323.xml,845,I have got a Mickey_Mouse shirt,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020323.xml,845,I did not cry,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020405.xml,857.5,you frozed froze it,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020406.xml,858.5,Daddy I have got a sore throat,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020526.xml,909,that allowed a glass of apple juice,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020616.xml,929.5,I stopped to Swww had a bump,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020621.xml,934.5,ah animals and fishes,FALSE,TRUE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020624.xml,937.5,put her arm put her tube in,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020624.xml,937.5,and I weren't,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020710.xml,954,can I clap my hands this now,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020811.xml,985.5,did noone got a paper Mom,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020811.xml,985.5,do you know who got paper,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020811.xml,985.5,you dropped them milk,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020819.xml,993.5,then his cars might be in the garage,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/030125a.xml,1151.25,do you let Jwww lost Bun_Bun,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/030125b.xml,1151.25,and that one is gone,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/030311.xml,1198.25,just this month did a little bit bigger,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/030316a.xml,1203.25,and my baby's name was Elizabeth and Jwww's baby's name was Rory,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/030324.xml,1211.25,your voice has gone loud,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/030528a.xml,1276.25,my toast is burned,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/030528b.xml,1276.25,but where did they went,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/030528b.xml,1276.25,I think we call this messy did I Mom,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/030528b.xml,1276.25,that is what I wanted to tell you I forgot,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/030528d.xml,1276.25,because I'm gonna show you how I made I how I maded made my my treasure box right right Jwww,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/030528d.xml,1276.25,are you getting how did you get pink,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/030528d.xml,1276.25,are yours fingers getting dirty Jwww,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/030702d.xml,1311.25,where did you left your socks,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/030702d.xml,1311.25,what did you eat for lunch,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/040307a.xml,1559.5,Tamsin and I was on tv,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/040307a.xml,1559.5,I just I did a little snivels,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/040311c.xml,1563.5,I don't know how many years you've got married,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/040311c.xml,1563.5,I've got xxx,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/040311c.xml,1563.5,I think we better share houses,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/040711a.xml,1685.5,I meaned it from a book about school yesterday,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/040718d.xml,1692.5,he said that you'd be mine if I said this to you,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/040718d.xml,1692.5,he told me ooh,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/040718d.xml,1692.5,I got it and it was all breaked,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/041000.xml,1766,where have they took my xxx,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/051013.xml,2144.25,the tooth fairy would have came anyhow,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/070014.xml,2570.75,these two are pushed,FALSE,FALSE